USER_ID,TICKET_ID,CREATED_AT,CONTENT
147,88,2025-01-06 17:35:30.000,"先週の公演中に音響システムに小さな問題もありました。静かなパッセージ、特にピアノソロの間にフィードバックノイズがあり、体験に大きく影響しました。"
89,202,2025-01-06 21:29:48.000,"とはいえ、先週のシンフォニックメタルショーケースの制作クオリティは本当に素晴らしかったです。ヘッドライナーアクト中のライトショーは圧巻でした！ただ、グッズ売り場のカードリーダーが正常に動作していなかったようです。今後のイベントのために確認した方が良いかもしれません。"
126,914,2025-01-07 12:54:05.000,フェスティバルは来週末なので、48時間以内にご回答いただけると助かります。
647,1088,2025-01-08 06:32:12.000,"先週のショー中、音響システムに軽微な技術的問題があり、特にピアノソロの間の静かな瞬間に気が散るフィードバックが発生しました。"
163,92,2025-01-08 14:10:16.000,"ついでにお伝えしますが、先月導入された新しいQRコードシステムは素晴らしいです。以前の紙のチケットよりずっとスムーズです！ただし、アプリのドリンクトークン機能はまだかなりバグが多いです。"
21,1164,2025-01-08 16:48:39.000,"あと、簡単な質問ですが、サマーベースシリーズ（3イベントパッケージ）の支払いがアカウントで1週間以上「保留中」と表示されていますが、お金は既に銀行口座から引き落とされています。確認していただけますか？"
39,1520,2025-01-09 09:24:57.000,"ついでにお伝えしますが、過去1年間、毎月のジャズナイトの常連で、地下会場の親密な雰囲気がとても気に入っています。音響も素晴らしいです！ただ、最近これらのイベントの頻度が減っているように感じます。以前は毎月第1金曜日に開催されていましたが、過去2ヶ月は予告なくスキップされました。ニュースレターでスケジュール変更について知らせていただけませんか？"
549,1111,2025-01-10 01:13:30.000,"新しいモバイルアプリで問題が発生しています。特にデジタルチケットへのアクセスについてです。読み込み時間が非常に遅く、最大5分かかることがあり、イベントに入場しようとするときは特にイライラします。"
15,607,2025-01-10 19:52:59.000,"これは本当に納得がいきません。このVIPパスに5万円費やし、フェスティバルまであと10日しかありません。サンセットDJセットとベルリン出身の新しいアンダーグラウンドテクノアーティストを見るのを楽しみにしていましたが、上司がどうしても外せない出張を入れてしまいました。チケットを至急譲渡する必要があります。"
30,146,2025-01-10 20:45:21.000,"予約参照番号 MF2023-45721 で2枚のVIPチケット（各3万円）を購入しました。イベントまで3週間なので、この問題についてかなり心配しています。残念ながら家族の結婚式のため、もう参加できなくなり、チケットの譲渡がしたいです。"
131,325,2025-01-11 06:57:25.000,"最後に、「アーバンビーツフェスティバル」のチケット（12月15日購入）を48時間以内の返金期間内に返金しようとしましたが、リクエストが拒否されました。購入時刻と返金リクエスト送信を示す確認メールのスクリーンショットがあります。"
82,268,2025-01-11 14:52:01.000,"この問題を何日も解決しようとしていて、かなりイライラしています。7月15日開催のサマーグルーブフェスティバルのVIPチケットを家族のために4枚購入しましたが、支払いが2回処理されてしまいました（銀行明細のスクリーンショットを添付しています）。最初の支払いに対する迅速な確認メールはありがたいですが、2回目の135,000円の請求を至急返金していただく必要があります。"
530,1146,2025-01-12 23:47:28.000,"VIPチケット購入（MF2023-45721、各28,350円）について緊急の問題に直面しているためご連絡しています。イベントまであと3週間しかなく、この問題の解決に焦っています。予期せぬ家族の都合、具体的には結婚式のため、参加できなくなり、チケットの譲渡について至急サポートが必要です。"
129,989,2025-01-13 11:04:51.000,"最後に、先月キャンセルされたジャズ&ソウルイベントの返金についてアカウントに不一致があるようです。メールでは5〜7営業日以内に処理されると記載されていましたが、もう2週間が経過しています。確認していただけますか？参考として元の購入確認書のスクリーンショットを添付しています。"
17,151,2025-01-13 11:36:57.000,"最後にもう一つ、イベントスケジュールでは公演開始が午後2時となっていますが、昨日のInstagram投稿では午後3時と記載されていました。正しい開始時間を確認していただけますか？"
46,303,2025-01-13 21:20:15.000,"ついでにお伝えしますが、最近ラテンジャズの公演が増えていて、いつもハイライトです！ただ、先週の公演の音質が少しおかしく、ベースが強すぎてホーンセクションがかき消されていました。参考までに。"
102,1090,2025-01-14 10:05:59.000,"このチケットに28,350円払ったのに、家族の結婚式で行けなくなったので、本当にイライラしています。サラはテクノの大ファンで、DJ Starlightのセットを見るのをとても楽しみにしています。"
106,208,2025-01-15 01:13:59.000,"先週末、リバーバンクアリーナで開催されたインディーフォークフェスティバルに参加しましたので、体験を共有したいと思います。音響は素晴らしく、ガーデンステージでのサンセットパフォーマンスは特に楽しめました。ただ、モバイルチケットシステムで問題がありました。入場時、電波が悪くQRコードが正しく読み込まれず（スクリーンショット添付）、20分の遅延が発生しました。他の参加者も同様の問題に直面していました。"
71,35,2025-01-15 02:22:53.000,"チケット参照番号は TIX-2023-89445、3月15日に28,350円で購入しました。"
137,683,2025-01-15 09:30:23.000,"先週末のインディーロックフェスティバルに参加しましたが、音楽は素晴らしかったです（特にあの新しいアンダーグラウンドバンドの素晴らしい女性ギタリスト！）が、VIPチケットの返金処理に問題があります。元々彼氏と一緒に参加する予定でしたが、家族の緊急事態のため2日目の早い段階で帰らなければなりませんでした。"
666,1177,2025-01-15 17:46:35.000,"モバイルアプリのアップデート、特にダークモードとより詳細な電子音楽サブジャンルを楽しんでいます。ただ、決済処理が以前より少し時間がかかるようになっているのに気づきました。また、先週2回、二重請求の問題がありました（1回分は最終的に返金されましたが）。"
150,434,2025-01-15 21:59:07.000,"まず、VIPアップグレードの支払いがクレジットカードに2回請求されているようです。銀行明細の両方の取引のスクリーンショットを添付しました。二重請求は22,500円です。"
507,1182,2025-01-15 22:42:40.000,"スターライトアリーナで開催されたエレクトロニックミュージックフェスティバルに最近参加しましたが、複雑な体験でした。ディープハウスのパフォーマンスでは音響システムは最高でしたが、テクノセットではベースが強すぎ、特に西ステージ付近で顕著でした。遭遇したスピーカーの歪みを捉えたビデオクリップを添付しています。"
97,1454,2025-01-16 00:50:16.000,"せっかくなのでお伝えしますが、新しいアンダーグラウンド電子音楽シリーズの取り組みが気に入っています。月1回の頻度は完璧で、実験的なテクノやアンビエントが好きな者として、これらのジャンルが適切に取り上げられているのは新鮮です。ただ、ブルールーム会場の音響システムは、特にベースが強いセットでは改善の余地があります。"
32,1416,2025-01-16 02:37:16.000,"別件ですが、来月の実験的電子音楽ショーのチケットを誤って2枚購入してしまいました（ダブルブッキングのスクリーンショット添付）。1枚分の返金は可能でしょうか？注文番号 #RT789321。"
138,610,2025-01-17 06:43:54.000,"先週末、サンセットアリーナで開催されたエレクトロニックミュージックフェスティバルに参加しましたが、複雑な気持ちです。音楽のセレクションは素晴らしく（特にディープハウスとテクノセットが最高でした）、ステージ3の音質がかなり悪かったのが気になりました。ピーク時に常に歪みがありました。音声の問題を示すビデオを添付しています。"
589,1202,2025-01-17 09:33:25.000,"先週のシンフォニックメタルショーケースは素晴らしい時間を過ごしました。制作クオリティは最高でした！ヘッドライナーのパフォーマンス中のライトショーは本当に息をのむものでした。1つ改善提案：グッズ売り場のカードリーダーが少し不安定だったので、今後のイベントのために確認する価値があるかもしれません。"
606,1208,2025-01-18 03:07:54.000,"リバーバンクアリーナで開催されたインディーフォークフェスティバルに最近参加しましたが、複雑な体験でした。音響は最高で、ガーデンステージでのサンセットショーがハイライトでした。ただ、会場に入ろうとした際にモバイルチケットシステムで問題が発生しました。電波が弱くQRコードが読み込めず（添付スクリーンショット参照）、20分待ちになりました。残念ながら私だけでなく、他のフェスティバル参加者も同様の問題を経験していました。"
99,940,2025-01-18 14:18:23.000,"これらのチケットに67,500円以上費やしましたので、これらの問題について明確にしていただけると本当に助かります。二重請求は至急返金していただく必要がありますし、VIP特典の内容を具体的に知りたいです。"
52,664,2025-01-18 17:48:24.000,"モバイルアプリもかなりバグが多いです。チケットのバーコードを表示しようとするとクラッシュします。アンインストールして再インストールしましたが、改善しませんでした。表示されるエラーメッセージのスクリーンショットを添付しました。"
517,1228,2025-01-19 12:50:35.000,2つの問題（チケット譲渡と二重支払い）の解決にご協力いただければ大変ありがたいです。お時間をいただきありがとうございます。そして、地元の音楽シーンを支援する御社の取り組みに感謝しています。
88,743,2025-01-19 14:59:17.000,"今後開催されるサマージャズフュージョンフェスティバルの最近のチケット購入で、本当にイライラする経験をしています。先週の木曜日にVIPチケットを4枚購入しました（注文番号 #RT789321）が、同じ注文に対して2回請求されています！銀行明細の両方の取引のスクリーンショットを添付しました。"
164,1843,2025-01-19 17:00:48.000,"6月15日開催予定のエレクトロニックミュージックフェスティバル「ネオンドリームス」のVIPチケットを2枚購入しましたが、いくつかの問題でサポートが必要です。まず、モバイルアプリでチケットにアクセスしようとすると、エラーメッセージが表示され続けます（スクリーンショット添付）。ログアウトして再度ログインしても改善しませんでした。"
